estimated_nights_booked,price,minimum_nights,calculated_host_listings_count,estimated_nights_booked_binary,room_type_Hotel room,room_type_Private room,room_type_Shared room,latitude,longitude
40.32,75.0,2,1,0,0.0,1.0,0.0,,
67.20000000000002,35.0,28,1,1,0.0,1.0,0.0,,
58.56,95.0,2,1,1,0.0,0.0,0.0,,
8.4,229.0,5,92,0,0.0,0.0,0.0,,
79.2,45.0,3,2,1,0.0,1.0,0.0,,
38.64,98.0,7,1,0,0.0,0.0,0.0,,
100.79999999999998,167.0,6,1,1,0.0,0.0,0.0,,
78.24,85.0,2,1,1,0.0,1.0,0.0,,
15.12,120.0,1,3,0,0.0,1.0,0.0,,
30.96,286.0,3,2,0,0.0,0.0,0.0,,
41.52,47.0,1,1,0,0.0,1.0,0.0,,
89.28,106.0,6,1,1,0.0,0.0,0.0,,
47.04,98.0,2,3,0,0.0,0.0,0.0,,
24.0,159.0,2,1,0,0.0,0.0,0.0,,
19.2,85.0,20,1,0,0.0,0.0,0.0,,
11.52,75.0,3,1,0,0.0,0.0,0.0,,
10.08,120.0,1,2,0,0.0,0.0,0.0,,
13.44,110.0,2,2,0,0.0,0.0,0.0,,
66.24000000000001,81.0,3,1,1,0.0,0.0,0.0,,
84.96000000000001,286.0,3,1,1,0.0,0.0,0.0,,
40.32,200.0,7,1,0,0.0,0.0,0.0,,
28.8,31.0,2,2,0,0.0,1.0,0.0,,
2.88,44.0,2,4,0,0.0,1.0,0.0,,
41.04,65.0,1,1,0,0.0,1.0,0.0,,
1.92,190.0,2,9,0,0.0,0.0,0.0,,
32.64,317.0,4,68,0,0.0,0.0,0.0,,
16.56,35.0,1,1,0,0.0,1.0,0.0,,
25.2,105.0,7,6,0,0.0,0.0,0.0,,
117.6,359.0,5,3,1,0.0,0.0,0.0,,
246.72,429.0,4,1,1,0.0,0.0,0.0,,
22.56,280.0,2,1,0,0.0,0.0,0.0,,
22.56,360.0,2,3,0,0.0,0.0,0.0,,
2.4000000000000004,60.0,1,1,0,0.0,1.0,0.0,,
14.4,170.0,4,1,0,0.0,0.0,0.0,,
107.52,95.0,4,2,1,0.0,0.0,0.0,,
12.24,99.0,3,2,0,0.0,1.0,0.0,,
36.96,583.0,2,2,0,0.0,0.0,0.0,,
25.92,70.0,3,3,0,0.0,1.0,0.0,,
66.72,38.0,2,2,1,0.0,1.0,0.0,,
10.08,115.0,2,1,0,0.0,1.0,0.0,,
49.67999999999999,202.0,3,5,1,0.0,0.0,0.0,,
121.92,98.0,4,2,1,0.0,1.0,0.0,,
7.199999999999999,171.0,2,94,0,0.0,0.0,0.0,,
85.19999999999999,53.0,1,10,1,0.0,1.0,0.0,,
10.56,26.0,1,1,0,0.0,1.0,0.0,,
93.12,295.0,4,1,1,0.0,0.0,0.0,,
21.84,65.0,1,1,0,0.0,1.0,0.0,,
50.88,157.0,4,2,1,0.0,0.0,0.0,,
136.79999999999998,64.0,3,1,1,0.0,1.0,0.0,,
4.5600000000000005,65.0,1,2,0,0.0,1.0,0.0,,
75.60000000000001,79.0,3,1,1,0.0,1.0,0.0,,
27.36,291.0,1,1,0,0.0,0.0,0.0,,
35.28,50.0,3,1,0,0.0,1.0,0.0,,
43.2,260.0,3,1,0,0.0,0.0,0.0,,
1.44,166.0,1,2,0,0.0,1.0,0.0,,
72.72,70.0,1,3,1,0.0,1.0,0.0,,
79.67999999999999,196.0,4,1,1,0.0,0.0,0.0,,
16.799999999999997,200.0,2,1,0,0.0,0.0,0.0,,
92.88,210.0,3,1,1,0.0,0.0,0.0,,
51.84,105.0,3,16,1,0.0,1.0,0.0,,
48.24000000000001,176.0,3,1,1,0.0,0.0,0.0,,
155.52,200.0,4,2,1,0.0,0.0,0.0,,
15.12,135.0,3,1,0,0.0,1.0,0.0,,
125.99999999999996,167.0,15,1,1,0.0,0.0,0.0,,
52.8,175.0,1,2,1,0.0,0.0,0.0,,
125.28,115.0,2,1,1,0.0,0.0,0.0,,
13.919999999999998,71.0,2,2,0,0.0,0.0,0.0,,
12.72,286.0,1,5,0,0.0,0.0,0.0,,
14.64,74.0,1,1,0,0.0,1.0,0.0,,
123.12,40.0,3,1,1,0.0,1.0,0.0,,
21.84,300.0,1,1,0,0.0,0.0,0.0,,
126.0,204.0,5,1,1,0.0,0.0,0.0,,
6.720000000000001,154.0,1,11,0,0.0,1.0,0.0,,
13.2,150.0,5,1,0,0.0,0.0,0.0,,
6.0,132.0,1,2,0,0.0,0.0,0.0,,
