id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,estimated_nights_booked
9743723,Rental unit in London · ★4.68 · 3 bedrooms · 4 beds · 4.5 baths,49938375,Mingus,,Westminster,51.51734,-0.1813,Entire home/apt,450.0,5,80,2023-07-20,0.83,1,332,3,,99
9782260,Rental unit in Greater London · ★4.79 · 1 bedroom · 2 beds · 1 bath,50427516,Sebnem,,Camden,51.52868,-0.14088,Entire home/apt,222.0,28,19,2023-07-30,1.47,1,115,16,,987
9021363,Condo in London · ★4.52 · 1 bedroom · 1 bed · 1.5 baths,1955559,Sean,,Enfield,51.61346,-0.11148,Entire home/apt,68.0,30,139,2023-10-07,1.44,4,231,2,,1036
9900099,Rental unit in London · ★4.72 · 2 bedrooms · 5 beds · 1.5 baths,5082135,Sandra,,Brent,51.5541,-0.24051,Entire home/apt,155.0,5,47,2023-08-26,2.61,2,264,28,,313
9913528,Home in Greater London · ★5.0 · 5 bedrooms · 5 beds · 2.5 baths,21909788,Samia,,Lewisham,51.4630149,0.0057592,Entire home/apt,349.0,2,11,2023-12-08,2.04,1,340,11,,97
9271445,Rental unit in London · ★4.58 · 1 bedroom · 1 bed · 1 bath,48154613,Santiago,,Hammersmith and Fulham,51.49942,-0.22638,Entire home/apt,95.0,90,12,2017-05-03,0.13,1,359,0,,280
9361322,Rental unit in London · ★4.80 · Studio · 1 bed · 1 bath,32485695,Dani,,Camden,51.54843,-0.18103,Entire home/apt,68.0,3,168,2023-11-03,1.71,8,37,50,,123
9423291,Rental unit in London · ★4.65 · Studio · 1 bed · 1 bath,48854001,Jeffrey,,Westminster,51.5321,-0.18228,Entire home/apt,50.0,90,57,2023-07-01,0.6,2,69,4,,1295
10080136,Rental unit in Kensington · ★4.83 · 1 bedroom · 1 bed · 1 bath,51723823,Bart,,Kensington and Chelsea,51.49314,-0.1862,Entire home/apt,165.0,3,186,2023-10-06,1.92,1,39,29,,138
10472066,Home in Greater London · ★4.75 · 1 bedroom · 1 bed · 1 bath,13655885,Fergal,,Hackney,51.54445,-0.06699,Entire home/apt,150.0,365,4,2023-04-11,0.33,1,365,4,,2890
10736658,Rental unit in London · ★4.98 · 2 bedrooms · 2 beds · 2 baths,20566114,Eliza,,Ealing,51.50219,-0.26895,Entire home/apt,350.0,4,103,2023-11-18,1.1,1,261,23,,105
10761622,Rental unit in London · ★4.76 · 1 bedroom · 1 bed · 1 private bath,55652810,Tim,,Islington,51.52388,-0.10385,Private room,142.0,5,206,2023-11-26,2.15,3,137,28,,258
9824566,Rental unit in London · ★4.71 · Studio · 2 beds · 1.5 baths,49355890,Lana,,Hammersmith and Fulham,51.50181,-0.23551,Entire home/apt,89.0,2,257,2023-11-19,2.65,2,76,34,,127
10245161,Rental unit in London · ★4.89 · Studio · 1 bed · 1 bath,1908992,Stefano & Maria,,Lambeth,51.4364,-0.11771,Entire home/apt,60.0,7,90,2020-02-12,0.97,3,100,0,,162
10325545,Home in London · ★4.86 · 1 bedroom · 1 bed · 1 bath,4920960,Rosalind,,Ealing,51.51006,-0.3163,Private room,50.0,10,49,2023-11-17,0.51,1,299,2,,122
11490749,Townhouse in London · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,60496587,Olivia,,Lewisham,51.48981,-0.04622,Private room,60.0,3,125,2023-11-27,1.45,1,349,28,,104
11588723,Rental unit in London · ★4.88 · 1 bedroom · 1 bed · 1 private bath,61288403,Roger,,Tower Hamlets,51.5119,-0.05892,Private room,85.0,1,379,2023-12-03,4.02,1,16,56,,96
11031215,Rental unit in London · ★4.86 · Studio · 1 bed · 1 bath,57244877,James,,Kensington and Chelsea,51.48666,-0.17645,Entire home/apt,44.0,91,21,2019-06-28,0.31,1,90,0,,677
11769774,Rental unit in Richmond · ★4.70 · 1 bedroom · 1 bed · 1 bath,7893686,Rosemary,,Richmond upon Thames,51.48444,-0.28205,Entire home/apt,121.0,3,183,2023-12-03,1.99,2,266,16,,143
